ID,Genus,Species,Date,Capture time,Plant,Place,Sex,IT (mm),Age.signals,Observer,Correct.cue,First.position,PER.sugar1,PER.water1,Success1,Water.exploring1,PER.sugar2,PER.water2,Success2,Water.exploring2,PER.sugar3,PER.water3,Success3,Water.exploring3,PER.sugar4,PER.water4,Success4,Water.exploring4,PER.sugar5,PER.water5,Success5,Water.exploring5,PER.sugar6,PER.water6,Success6,Water.exploring6,PER.sugar7,PER.water7,Success7,Water.exploring7,PER.sugar.test,PER.water.test,Success.test,Water.exploring.test,Notes,Experimental tube
D38,Bombus,Bombus terrestris,26/03/18,12:30,Anchusa calcarea,La rocina,Male,,No,Patrick,Yellow,Left,4,21,Yes,Yes,9,38,Yes,Yes,36,6,No,Yes,6,38,Yes,Yes,4,30,Yes,Yes,3,No,Yes,No,26,10,No,Yes,11,7,No,Yes,,2.5
D39,Bombus,Bombus terrestris,26/03/18,12:30,Anchusa calcarea,La rocina,Male,,Yes,Cristina,Yellow,Left,29,19,No,Yes,9,41,Yes,Yes,19,11,No,Yes,9,18,Yes,Yes,5,9,Yes,Yes,10,50,Yes,Yes,13,23,Yes,Yes,10,15,Yes,Yes,,2.5
D30,Lasioglossum,Lasioglossum immunitum,26/03/18,11:30,Halimium commutatum,La rocina,Female,,No,Cristina,Yellow,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,17,Yes,No,NA,NA,NA,NA,NA,NA,NA,NA,,2.5
D31,Lasioglossum,Lasioglossum immunitum,26/03/18,11:30,Halimium commutatum,La rocina,Female,,No,Cristina,Yellow,Right,NA,NA,NA,NA,NA,NA,NA,NA,4,26,Yes,Yes,10,27,Yes,Yes,4,14,Yes,Yes,17,7,No,Yes,7,14,Yes,Yes,10,40,Yes,Yes,,2.5
D32,Lasioglossum,Lasioglossum immunitum,26/03/18,11:30,Halimium commutatum,La rocina,Female,,No,Cristina,Yellow,Right,NA,NA,NA,NA,134,144,Yes,Yes,5,23,Yes,Yes,43,21,No,Yes,19,26,Yes,Yes,5,33,Yes,Yes,9,19,Yes,Yes,17,25,Yes,Yes,,2.5
D33,Lasioglossum,Lasioglossum immunitum,26/03/18,11:30,Halimium commutatum,La rocina,Female,,No,Patrick,Yellow,Right,NA,NA,NA,NA,40,27,No,Yes,No,9,No,Yes,4,16,Yes,Yes,NA,NA,NA,NA,8,12,Yes,Yes,14,5,No,Yes,6,63,Yes,Yes,,2.5
D34,Lasioglossum,Lasioglossum immunitum,26/03/18,11:30,Halimium commutatum,La rocina,Female,,No,Cristina,Yellow,Right,NA,NA,NA,NA,NA,NA,NA,NA,9,No,Yes,No,5,17,Yes,Yes,30,No,Yes,No,15,9,No,Yes,12,31,Yes,Yes,26,17,No,Yes,Agressive,2.5
D67,Lasioglossum,Lasioglossum immunitum,16/04/18,11:30,,La rocina,Female,,No,Cristina,Blue,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,51,No,Yes,24,41,Yes,Yes,9,22,Yes,Yes,14,8,No,Yes,No,5,No,Yes,,
D68,Lasioglossum,Lasioglossum immunitum,16/04/18,11:30,,La rocina,Female,,Yes,Cristina,Blue,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,63,No,Yes,12,33,Yes,Yes,48,13,No,Yes,9,No,Yes,No,NA,NA,NA,NA,,
D69,Lasioglossum,Lasioglossum immunitum,16/04/18,11:30,,La rocina,Female,,No,Cristina,Blue,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,49,Yes,Yes,16,No,Yes,No,6,No,Yes,No,63,93,Yes,Yes,77,No,Yes,No,,
D70,Lasioglossum,Lasioglossum immunitum,16/04/18,11:30,,La rocina,Female,,No,Cristina,Blue,Right,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,No,Yes,No,32,9,No,Yes,8,22,Yes,Yes,7,No,Yes,No,5,No,Yes,No,,
D71,Lasioglossum,Lasioglossum immunitum,16/04/18,11:30,,La rocina,Female,,No,Cristina,Blue,Right,NA,NA,NA,NA,NA,NA,NA,NA,123,No,Yes,No,18,58,Yes,Yes,No,4,No,Yes,No,102,No,Yes,65,95,Yes,Yes,102,112,Yes,Yes,,
D72,Bombus,Bombus terrestris,16/04/18,12:00,,La rocina,Male,,Yes,Cristina,Yellow,Left,NA,NA,NA,NA,NA,NA,NA,NA,13,40,Yes,Yes,63,30,No,Yes,72,123,Yes,Yes,7,36,Yes,Yes,3,14,Yes,Yes,4,150,Yes,Yes,Experiment done the day after,3
D73,Bombus,Bombus terrestris,16/04/18,12:00,,La rocina,Male,,Yes,Cristina,Yellow,Left,164,No,Yes,No,7,14,Yes,Yes,34,10,No,Yes,7,25,Yes,Yes,24,18,No,Yes,12,68,Yes,Yes,5,28,Yes,Yes,6,149,Yes,Yes,Experiment done the day after,3
D74,Bombus,Bombus terrestris,16/04/18,12:00,,La rocina,Female,,No,Cristina,Yellow,Left,88,24,No,Yes,9,29,Yes,Yes,11,27,No,Yes,8,20,Yes,Yes,12,45,Yes,Yes,9,84,Yes,Yes,6,No,Yes,No,3,34,Yes,Yes,Experiment done the day after,2.5
D7,Bombus,Bombus terrestris,,,,Pinares de Hinojos,Male,,No,MAC,Yellow,Left,21,108,Yes,Yes,64,56,No,Yes,63,56,No,Yes,30,47,Yes,Yes,88,99,No,Yes,30,44,No,Yes,37,59,Yes,Yes,64,76,Yes,Yes,"One person only, exploration ",
D97,Andrena ,Andrena rhyssonota,26/04/18,13:00,,Alamillo,Female,,Yes,Cristina,Yellow,Left,NA,NA,NA,NA,70,38,No,Yes,38,25,No,Yes,24,64,Yes,Yes,11,28,Yes,Yes,40,62,Yes,Yes,NA,NA,NA,NA,,,,,,3
D98,Andrena ,Andrena rhyssonota,26/04/18,13:00,,Alamillo,Female,,No,Cristina,Yellow,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,3
D99,Andrena ,Andrena rhyssonota,26/04/18,13:00,,Alamillo,Female,,No,Cristina,Yellow,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,12,No,Yes,NA,NA,NA,NA,,,,,,,,,,2.5
D100,Andrena ,Andrena rhyssonota,26/04/18,13:00,,Alamillo,Female,,No,Cristina,Yellow,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,2.5
D101,Andrena ,Andrena cinerea,26/04/18,13:00,,Alamillo,Female,,No,Cristina,Yellow,Left,NA,NA,NA,NA,65,22,No,Yes,72,12,No,Yes,NA,NA,NA,NA,50,15,No,Yes,NA,NA,NA,NA,,,,,,,,,,2.5
D102,Andrena ,Andrena rhyssonota,26/04/18,13:00,,Alamillo,Female,,No,Cristina,Yellow,Left,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
D103,Andrena ,Andrena rhyssonota,26/04/18,13:00,,Alamillo,Female,,No,Cristina,Yellow,Left,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,2.5
